002260018462,ARRID,XX SOLID ULT FRESH,6,2.6  OZ,01/01/2017,8.7,0.7,12.96,4.26,0.71,8.7,8.7,8.7,8.7,,,,,,,N,N
002260019114,ARRID,X DRY MRNG CLN GEL,6,2.6  OZ,01/01/2017,8.7,0.7,12.96,4.26,0.71,8.7,8.7,8.7,8.7,,,,,,,N,N
002070000344,&RED ROSE,SPECIALTY TEA DSP,36,40   CT,01/01/2017,64.8,0.6,102.24,37.44,1.04,64.8,,,,,,64.8,64.8,64.8,64.8,Y,Y
002070000344,RED ROSE,EARL GREY TEA,6,40   CT,01/01/2017,10.8,0.6,17.04,6.24,1.04,10.8,,,,,,10.8,10.8,10.8,10.8,N,N
004190007284,TRUMOO,CHOCOLATE MILK 1%,4,128  FZ,01/08/2017,7.68,0.6,12.61,4.93,1.23,,7.68,7.68,7.68,,,,,,,N,N
004175500830,&LANGERS,CRANB CKTLS MX MOD,480,64   FZ,01/08/2017,738.0,0.6,1224,486.00,1.01,534.0,738.0,708.0,708.0,708.0,708.0,708.0,708.0,708.0,486.0,Y,Y
004800070055,CHICK SEA,CHK WHT WTR 6/4/5,6,20OZ,01/01/2017,18.39,0.6,30.48,12.09,2.02,18.39,18.39,18.39,18.39,7.11,7.11,7.11,7.11,7.11,7.11,N,N
001700000000,RT GUARD,SPORT AP/DEO DSP,72,1    CT,01/01/2017,86.4,0.6,143.28,56.88,0.79,86.4,86.4,86.4,25.2,25.2,,,,,,Y,Y
003160402867,NATURE MD,FISH OIL 500MG MIN,3,60   CT,01/01/2017,15.83,0.6,26.37,10.54,3.51,15.83,15.83,15.83,15.83,15.83,,,7.92,7.92,7.92,N,N
007726004001,&RUSSELLS,ASSORTED BOXED CHO,36,12   OZ,01/01/2017,144.0,0.6,242.62,98.62,2.74,144.0,144.0,144.0,144.0,144.0,144.0,144.0,72.0,,,Y,Y
007726000000,&R STOVER,ASSORTED BXED CHOC,36,12   OZ,01/15/2017,146.52,0.6,247.47,100.95,2.80,72.0,72.0,146.52,146.52,146.52,146.52,146.52,146.52,74.52,74.52,Y,Y
007726004001,&RS,RS HALL BOX CHOC F,36,1    EA,01/15/2017,146.52,0.6,247.47,100.95,2.80,72.0,72.0,146.52,146.52,146.52,146.52,146.52,146.52,74.52,74.52,Y,Y
007726004001,&R STOVER,ASSORTED BXED CHOC,36,12   OZ,01/15/2017,146.52,0.6,247.47,100.95,2.80,72.0,72.0,146.52,146.52,146.52,146.52,146.52,146.52,74.52,74.52,Y,Y
068833992434, FLATOUT,ARTSN 5GRN FLX 5CT,12,8.5OZ,01/29/2017,13.6,0.6,23.12,9.52,0.79,,,,,13.6,13.6,13.6,13.6,,,N,N
004460001645,&CLOROX,DISNFCNT WIPES SHP,40,35CT,01/01/2017,48.03,0.6,82,33.97,0.85,48.03,20.03,20.03,19.2,,,,,,,N,Y
081033300000,RENPURE,SHMP/COND 18PC PDQ,18,16   FZ,03/05/2017,37.8,0.6,64.8,27.00,1.50,19.8,,19.8,19.8,19.8,19.8,19.8,19.8,19.8,37.8,Y,Y
001700006816,RT GUARD,SPRT INV SLD ACTIV,6,2.6  OZ,01/15/2017,6.9,0.6,11.94,5.04,0.84,1.8,1.8,6.9,6.9,5.1,,,,,,N,N
001700006812,RT GUARD,SPRT INVS SLD FRSH,6,2.6  OZ,01/15/2017,6.9,0.6,11.94,5.04,0.84,1.8,1.8,6.9,6.9,5.1,,,,,,N,N
001700006837,RT GUARD,SPORT GEL AP FRESH,6,3    OZ,01/15/2017,6.9,0.6,11.94,5.04,0.84,1.8,1.8,6.9,6.9,5.1,,,,,,N,N
003000006153,&QUAKER,QOS  VAR   DISPLAY,108,14.5 OZ,02/05/2017,225.72,0.6,393.12,167.40,1.55,184.77,184.77,184.77,182.52,182.52,225.72,225.72,225.72,225.72,,Y,Y
003320000000,&ARM& HAM,SHOPPABLE PALLET,144,75OZ,03/05/2017,488.64,0.6,851.04,362.40,2.52,,,,,,,,,,488.64,Y,Y
007856584301,SMOKEHOUS,TOOBLES DOG TREATS,2,1CT,01/01/2017,1.7,0.6,2.98,1.28,0.64,1.7,1.7,1.7,1.7,,,,,,,N,N
004130300596,ESSEVRYDY,BLEACH REGULAR,8,64   FZ,01/15/2017,8.0,0.6,14.12,6.12,0.77,3.2,3.2,8.0,4.8,4.8,,,,,4.8,N,N
004130300598,ESSEVRYDY,BLEACH LINEN,8,64   OZ,01/15/2017,8.0,0.6,14.12,6.12,0.77,3.2,3.2,8.0,4.8,4.8,,,,,4.8,N,N
004130300597,ESSEVRYDY,BLEACH LAVENDER,8,64   OZ,01/15/2017,8.0,0.6,14.12,6.12,0.77,3.2,3.2,8.0,4.8,4.8,,,,,4.8,N,N
003000000000,&QUAKER,CAPN CRNCH CRL PLT,350,1    EA,02/05/2017,703.5,0.6,1246,542.50,1.55,569.75,569.75,569.75,563.5,563.5,703.5,703.5,703.5,703.5,,Y,Y
003320009553,ARM & HAM,LQD CONC FRESH SCT,6,62.5FZ,03/05/2017,19.76,0.6,35.46,15.70,2.62,19.26,,,,,,,,,19.76,N,N
003320009555,ARM & HAM,LQD COOL BREEZE HE,6,62.5FZ,03/05/2017,19.76,0.6,35.46,15.70,2.62,19.26,,,,,,,,,19.76,N,N
003320009341,+GBARMNHM,LIQ LNDRY 2X CNCT,6,75OZ,03/05/2017,19.76,0.6,35.46,15.70,2.62,19.26,,,,,,,,,19.76,N,N
003320009330,ARM & HAM,2X CONC CLEAN BRST,6,75FZ,03/05/2017,19.76,0.6,35.46,15.70,2.62,19.26,,,,,,,,,19.76,N,N
